x,Time
762,61.945
762,61.977
762,62.011
762,62.044
762,62.078
762,62.111
762,62.145
762,62.179
762,62.211
762,62.245
762,62.278
762,62.311
762,62.345
762,62.378
762,62.412
762,62.445
762,62.478
762,62.512
762,62.545
762,62.578
762,62.612
762,62.645
762,62.678
762,62.712
762,62.745
762,62.778
765,62.812
765,62.862
765,62.928
765,63.045
765,63.146
765,63.196
765,63.229
765,63.262
766,63.296
766,63.33
766,63.362
766,63.396
766,63.43
766,63.463
766,63.496
766,63.53
766,63.562
766,63.596
766,63.646
766,63.713
767,63.763
767,63.796
767,63.847
768,63.913
769,63.996
770,64.08
770,64.247
770,64.363
770,64.481
771,64.547
772,64.631
773,64.697
773,64.747
774,64.781
775,64.83
776,64.864
778,64.897
779,64.931
780,64.964
781,64.998
781,65.031
782,65.097
782,65.165
783,65.215
783,65.247
783,65.314
784,65.364
784,65.398
785,65.431
785,65.465
786,65.498
786,65.548
787,65.581
788,65.631
789,65.665
790,65.698
792,65.732
794,65.765
796,65.799
799,65.831
801,65.865
802,65.898
804,65.931
805,65.965
806,66.015
807,66.065
808,66.115
808,66.232
809,66.265
809,66.299
809,66.349
809,66.415
809,66.532
810,66.716
811,66.75
812,66.783
813,66.817
814,66.849
815,66.916
816,67.1
816,67.2
817,67.317
817,67.45
818,67.501
818,67.583
819,67.616
821,67.65
823,67.684
825,67.717
826,67.75
827,67.8
828,67.867
829,68.0
830,68.1
831,68.134
832,68.167
833,68.2
834,68.234
836,68.267
838,68.301
840,68.334
842,68.367
844,68.4
845,68.434
846,68.468
848,68.501
849,68.535
850,68.568
852,68.601
853,68.635
856,68.668
858,68.701
859,68.735
861,68.768
863,68.801
865,68.835
867,68.868
869,68.901
871,68.935
873,68.968
876,69.001
879,69.035
882,69.068
884,69.102
886,69.135
889,69.168
893,69.202
897,69.235
900,69.268
904,69.301
908,69.335
911,69.368
913,69.402
916,69.435
920,69.469
923,69.503
926,69.535
929,69.568
931,69.602
934,69.635
936,69.669
938,69.702
943,69.735
948,69.769
952,69.802
953,69.836
955,69.869
956,69.902
957,69.952
958,70.003
959,70.035
961,70.069
962,70.102
963,70.136
964,70.169
965,70.202
967,70.237
969,70.269
971,70.303
972,70.336
973,70.369
975,70.403
979,70.436
983,70.469
986,70.503
987,70.537
988,70.57
989,70.636
987,71.003
989,73.506
990,73.539
991,73.573
992,73.606
994,73.639
997,73.673
1000,73.706
1003,73.739
1005,73.773
1006,73.806
1007,73.856
1008,73.891
1010,73.923
1012,73.956
1015,73.99
1017,74.023
1020,74.057
1022,74.09
1026,74.123
1028,74.157
1030,74.19
1033,74.223
1036,74.257
1039,74.29
1041,74.323
1044,74.357
1047,74.39
1050,74.423
1053,74.458
1055,74.49
1056,74.524
1058,74.557
1060,74.59
1062,74.623
1063,74.657
1065,74.69
1066,74.74
1067,74.792
1068,74.825
1069,74.857
1070,74.94
1071,75.058
1072,75.125
1073,75.158
1073,75.191
1074,75.225
1074,75.258
1074,75.291
1075,75.325
1076,75.358
1076,75.391
1076,75.425
1077,75.458
1077,75.491
1077,75.525
1077,75.558
1077,75.592
1077,75.625
1077,75.658
1077,75.691
1077,75.725
1077,75.758
1077,75.792
1077,75.825
1077,75.858
1077,75.908
1077,75.942
1077,75.975
1077,76.008
1077,76.042
1077,76.075
1077,76.109
1078,76.142
1078,76.175
1079,76.209
1079,76.242
1080,76.276
1080,76.308
1080,76.342
1080,76.375
1081,76.409
1081,76.442
1081,76.476
1081,76.51
1081,76.542
1082,76.577
1082,76.61
1082,76.642
1082,76.675
1082,76.71
1082,76.743
1082,76.776
1082,76.809
1082,76.843
1082,76.876
1082,76.91
1082,76.943
1082,76.976
1082,77.01
1082,77.043
1082,77.076
1082,77.11
1082,77.143
1082,77.177
1082,77.21
1082,77.243
1082,77.276
1082,77.31
1082,77.343
1082,77.377
1082,77.41
1082,77.477
1082,78.861
1082,78.978
1082,79.112
1082,79.178
1082,79.261
1082,79.345
1082,79.412
1082,79.463
1082,79.529
1082,79.562
1082,79.595
1082,79.629
1082,79.662
1082,79.695
1082,79.746
1082,79.78
1082,79.812
1082,79.845
1082,79.879
1082,79.913
1082,79.945
1082,79.98
1082,80.012
1082,80.063
1082,80.096
1082,80.146
1083,80.179
1083,80.213
1083,80.246
1085,80.28
1087,80.313
1089,80.347
1090,80.379
1091,80.413
1092,80.463
1092,80.496
1092,80.563
1093,80.596
1093,80.63
1093,80.713
1093,80.764
1093,80.83
1093,80.88
1093,80.913
1093,80.947
1093,80.98
1093,81.013
1093,81.047
1093,81.08
1093,81.13
1093,81.197
1093,81.313
1093,81.38
1094,81.447
1095,81.515
1096,81.548
1097,81.598
1098,81.631
1099,81.665
1100,81.73
1101,82.416
1101,82.482
1102,82.549
1103,82.583
1105,82.615
1108,82.649
1110,82.682
1112,82.715
1113,82.749
1114,82.782
1114,82.816
1114,82.849
1115,82.882
1116,82.916
1116,82.95
1117,82.982
1117,83.015
1118,83.082
1118,83.15
1118,83.299
1119,83.65
1122,83.684
1124,83.716
1127,83.75
1128,83.783
1129,83.817
1130,83.85
1132,83.883
1134,83.917
1136,83.95
1137,83.983
1138,84.018
1139,84.05
1140,84.134
1140,84.4
1140,84.55
1141,85.268
1142,85.452
1142,85.485
1142,85.552
1142,85.585
1142,85.618
1143,85.652
1143,85.685
1143,85.718
1144,85.752
1144,85.802
1144,85.852
1145,85.886
1145,85.935
1146,85.97
1147,86.019
1148,86.053
1148,86.086
1149,86.12
1150,86.153
1151,86.185
1152,86.219
1153,86.252
1155,86.286
1156,86.319
1156,86.353
