y,Time
236,30.515
236,30.549
236,30.581
236,30.631
236,30.699
237,30.732
237,30.765
238,30.799
238,30.832
239,30.865
239,30.898
240,30.932
240,30.966
241,30.999
242,31.032
243,31.065
243,31.099
244,31.131
244,31.165
244,31.199
244,31.231
244,31.265
244,31.299
244,31.332
244,31.366
244,31.399
244,31.432
244,31.466
244,31.499
244,31.533
244,31.566
244,31.6
245,31.632
245,31.666
246,31.7
247,31.733
248,31.766
249,31.8
251,31.833
252,31.866
254,31.9
256,31.932
258,31.966
259,31.999
260,32.033
261,32.066
262,32.1
263,32.149
264,32.183
265,32.216
266,32.25
267,32.283
268,32.316
269,32.35
270,32.383
271,32.417
272,32.467
273,32.517
274,32.6
275,32.701
275,32.767
275,32.801
276,32.834
276,32.867
276,32.9
277,32.935
277,32.967
277,33.0
277,33.034
277,33.084
278,33.151
278,33.201
278,33.267
279,33.301
279,33.334
279,33.367
280,33.401
280,33.467
281,33.501
281,33.535
283,33.568
284,33.601
286,33.635
287,33.668
288,33.717
289,33.751
290,33.817
291,33.935
292,34.201
292,34.351
292,34.385
292,34.419
292,34.551
293,36.654
294,36.72
294,37.872
294,37.906
294,37.939
294,37.972
295,38.005
295,38.055
296,38.172
297,38.221
298,38.272
299,38.305
300,38.356
301,38.389
301,38.422
302,38.456
303,38.489
304,38.522
305,38.589
306,38.69
306,38.723
307,38.756
307,38.79
307,38.823
307,38.856
308,38.889
308,38.923
308,38.956
308,38.989
308,39.022
308,39.106
308,39.206
309,39.256
309,39.289
310,39.324
310,39.357
311,39.39
312,39.473
313,39.557
314,39.591
315,39.624
315,39.657
316,39.69
316,39.724
317,39.757
317,39.808
318,39.857
319,39.974
320,40.091
321,40.208
322,40.307
323,40.424
323,40.459
323,40.491
323,40.525
323,40.574
323,40.674
323,40.741
324,40.925
325,41.058
326,41.241
326,41.542
327,41.592
327,41.625
327,41.659
327,41.692
327,41.808
328,42.06
329,42.092
330,42.176
331,42.993
332,43.06
333,43.111
334,43.16
335,43.194
336,43.227
336,43.277
337,43.31
337,43.344
338,43.378
338,43.478
338,43.628
338,43.661
338,43.711
338,44.111
339,44.195
340,44.329
340,44.845
340,45.012
341,45.045
341,45.079
341,45.129
342,45.163
342,45.195
342,45.229
342,45.262
342,45.296
342,45.33
342,45.412
342,45.646
342,45.679
342,45.763
343,45.796
343,46.013
344,46.063
345,46.363
347,46.613
347,47.181
347,47.214
347,47.281
347,47.349
347,47.382
347,47.415
347,47.449
347,47.481
346,47.515
346,47.581
346,47.699
346,47.766
346,47.832
346,47.949
347,47.982
347,48.016
348,48.049
348,48.082
349,48.116
349,48.149
350,48.182
350,48.215
350,48.25
350,48.282
351,48.315
351,48.349
351,48.382
351,48.416
351,48.499
350,48.8
350,48.884
351,49.4
353,49.433
356,49.466
357,49.5
358,49.533
359,49.583
360,49.633
361,49.683
362,49.716
363,49.75
364,49.783
365,49.817
366,49.867
365,50.05
364,50.368
364,50.751
364,50.785
364,50.818
364,50.852
364,50.885
364,50.918
364,50.951
364,50.985
364,51.019
364,51.051
364,51.085
364,51.119
364,51.152
364,51.185
364,51.336
364,51.369
364,51.402
364,51.435
363,51.469
363,51.502
363,51.552
363,51.903
363,52.086
363,52.119
363,52.153
363,52.186
363,52.219
363,52.252
363,52.287
363,52.32
363,52.353
363,52.386
363,52.419
363,52.453
363,52.486
364,52.537
368,52.569
372,52.603
375,52.637
378,52.67
382,52.703
385,52.736
388,52.771
390,52.803
393,52.836
394,52.87
396,52.903
399,52.937
402,52.97
407,53.003
410,53.037
415,53.071
418,53.104
422,53.137
426,53.17
429,53.203
433,53.237
436,53.27
440,53.304
443,53.338
446,53.371
450,53.404
452,53.438
456,53.471
460,53.504
464,53.537
